Name,(All),,,
Platform,(All),,,
,,,,
Row Labels,Sum of Global_Sales,Sum of NA_Sales,Sum of EU_Sales,Sum of JP_Sales
1980,11.38,10.59,0.67,0
Action,0.34,0.32,0.02,0
Fighting,0.77,0.72,0.04,0
Misc,2.71,2.53,0.15,0
Shooter,7.07,6.56,0.43,0
Sports,0.49,0.46,0.03,0
1981,35.77,33.4,1.96,0
Action,14.84,13.86,0.81,0
Platform,6.93,6.47,0.37,0
Puzzle,2.24,2.09,0.13,0
Racing,0.48,0.45,0.03,0
Shooter,10.04,9.37,0.56,0
Simulation,0.45,0.42,0.02,0
Sports,0.79,0.74,0.04,0
1982,28.86,26.92,1.65,0
Action,6.52,6.07,0.38,0
Misc,0.87,0.81,0.05,0
Platform,5.03,4.69,0.28,0
Puzzle,10.03,9.35,0.58,0
Racing,1.57,1.47,0.09,0
Shooter,3.79,3.55,0.21,0
Sports,1.05,0.98,0.06,0
1983,16.79,7.76,0.8,8.1
Action,2.86,2.67,0.17,0
Adventure,0.4,0.38,0.02,0
Misc,2.14,0.01,0,2.13
Platform,6.93,2.8,0.43,3.62
Puzzle,0.78,0.72,0.05,0
Shooter,0.48,0.45,0.03,0
Sports,3.2,0.73,0.1,2.35
1984,50.36,33.28,2.1,14.27
Action,1.85,0.8,0.19,0.83
Misc,1.45,0,0,1.45
Platform,0.69,0,0,0.69
Puzzle,3.14,0.69,0.18,2.23
Racing,5.95,2.3,0.49,3.09
Shooter,31.1,27.79,0.85,1.96
Sports,6.18,1.7,0.39,4.02
1985,53.94,33.73,4.74,14.56
Action,3.52,1.64,0.38,1.44
Fighting,1.05,0,0,1.05
Platform,43.17,29.93,3.77,8.67
Puzzle,3.21,1.33,0.19,1.66
Shooter,1,0.65,0.14,0.21
Simulation,0.03,0,0.03,0
Sports,1.96,0.18,0.23,1.53
1986,37.07,12.5,2.84,19.81
Action,13.74,6.52,1.66,5.31
Platform,9.39,1.07,0.18,8.11
Racing,1.96,1.13,0.37,0.41
Role-Playing,2.52,0.49,0,0.52
Shooter,3.89,0.94,0.16,2.77
Sports,5.57,2.35,0.47,2.69
1987,21.74,8.46,1.41,11.63
Action,1.12,1.04,0.06,0
Adventure,4.38,2.19,0.5,1.61
Fighting,5.42,2.8,0.65,1.87
Platform,1.74,0.9,0.14,0.69
Role-Playing,4.65,0.47,0,4.18
Shooter,0.71,0.66,0.03,0
Sports,3.72,0.4,0.03,3.28
1988,47.22,23.87,6.59,15.76
Action,1.75,1.15,0.16,0.42
Platform,27.73,16.34,4.99,5.7
Puzzle,5.58,2.97,0.69,1.81
Racing,2.14,1.47,0.38,0.19
Role-Playing,5.88,0.1,0,5.78
Shooter,0.51,0.47,0.03,0
Simulation,0.03,0,0.02,0
Sports,3.6,1.37,0.32,1.86
1989,73.45,45.15,8.44,18.36
Action,4.64,3.83,0.46,0.31
Misc,1.28,0,0,1.28
Platform,20.66,12.14,3.08,4.97
Puzzle,37.75,26.54,3.61,6.77
Role-Playing,2.2,0,0,2.2
Shooter,1.2,0.4,0.39,0.36
Sports,5.72,2.24,0.9,2.47
1990,49.39,25.46,7.63,14.88
Action,6.39,4.27,0.97,1.01
Platform,22.97,14.14,3.99,4.28
Puzzle,6,3.13,0.8,1.93
Racing,6.26,3.1,1.2,1.48
Role-Playing,4.52,0.08,0,4.42
Simulation,1.14,0.46,0.17,0.48
Sports,2.11,0.28,0.5,1.28
1991,32.23,12.76,3.95,14.78
Action,6.76,3.47,1.08,2.06
Adventure,2.24,0.85,0.31,1.04
Fighting,0.39,0,0,0.39
Misc,0.08,0,0,0.08
Platform,7.64,4.36,1.19,1.91
Puzzle,3.24,0.86,0.16,2.11
Racing,1.14,0.58,0.37,0.15
Role-Playing,3.25,0.24,0.09,2.81
Shooter,2,1.06,0.38,0.5
Simulation,2.14,0.93,0.27,0.91
Sports,2.41,0.41,0.1,1.88
Strategy,0.94,0,0,0.94
1992,76.17,33.89,11.71,28.91
Action,3.83,2.21,0.96,0.54
Adventure,12.24,6.18,2.81,2.97
Fighting,15.25,6.88,2.28,5.75
Misc,4.94,2.3,0.71,1.81
Platform,13.42,8.23,2.05,2.79
Puzzle,4.84,1.56,0.52,2.68
Racing,9.04,3.54,1.24,4.09
Role-Playing,6.86,0,0,6.83
Shooter,0.29,0.02,0,0.26
Simulation,2.14,1.2,0.84,0
Sports,2.95,1.75,0.25,0.9
Strategy,0.37,0.02,0.05,0.29
1993,48.4,16.9,5.18,25.36
Action,1.81,0.64,0.22,0.92
Adventure,0.07,0,0,0.07
Fighting,8.75,2,0.55,6.11
Misc,0.3,0,0,0.3
Platform,18.67,9.66,3.16,5.21
Puzzle,3.17,0.62,0.13,2.39
Racing,0.36,0,0,0.36
Role-Playing,5.59,0.25,0.07,5.25
Shooter,3.08,1.61,0.51,0.89
Simulation,0.19,0,0,0.19
Sports,3.18,0.04,0.01,3.13
Strategy,0.81,0.3,0,0.51
(blank),2.42,1.78,0.53,0.03
1994,79.18,28.16,14.88,33.99
Action,1.55,0.57,0.12,0.84
Adventure,3.74,0.06,2.81,0.87
Fighting,8.48,2.86,0.98,4.44
Misc,2.86,1.49,0.81,0.46
Platform,28.74,14.88,5.73,7.02
Puzzle,1.53,0,0,1.53
Racing,2.19,0,0,2.13
Role-Playing,7.11,0.86,0,6.23
Shooter,8.3,3.71,2.57,1.67
Simulation,2.73,0.34,0.23,2.1
Sports,8.39,2.5,0.55,5.23
Strategy,3.56,0.89,1.08,1.47
1995,88.11,24.83,14.9,45.75
Action,3.57,1.73,0.45,1.26
Adventure,0.72,0.02,0.01,0.67
Fighting,14.85,4.39,2.84,7.05
Misc,6.4,2.32,1.56,2.43
Platform,16.69,6.61,3.22,6.36
Puzzle,2.71,0.21,0.13,2.34
Racing,6.09,2.27,1.56,1.95
Role-Playing,14.26,0.71,0.3,13.09
Shooter,4.15,0.7,0.48,2.85
Simulation,4.18,1.36,0.63,2.03
Sports,7.98,2.56,1.28,3.87
Strategy,6.51,1.95,2.44,1.85
1996,199.15,86.76,47.26,57.44
Action,20.58,10.65,5.88,2.62
Adventure,4.19,0.86,0.6,2.6
Fighting,18.06,7.12,4.05,6.12
Misc,10.68,4.08,2.75,3.47
Platform,28.23,13.81,6.83,6.76
Puzzle,3.91,2.18,0.29,1.36
Racing,28.24,16.94,5.19,5.3
Role-Playing,43.96,12.78,11.04,18.78
Shooter,6.91,3.28,2.14,1.11
Simulation,11.33,5.42,3.05,2.38
Sports,17.45,7.78,3.78,5.08
Strategy,5.61,1.86,1.66,1.86
1997,200.98,94.75,48.32,48.87
Action,27.58,14.4,9.86,1.9
Adventure,4.96,2.36,1.34,1.05
Fighting,11.76,6.03,2.65,2.6
Misc,5.69,3.28,1.22,0.98
Platform,21.85,10.81,6.45,3.71
Puzzle,5.89,1.34,0.53,3.83
Racing,31.91,15.52,10.82,4.09
Role-Playing,21.79,5.31,3.44,11.56
Shooter,22.17,15,4.5,2.17
Simulation,9.65,1.9,1.29,5.91
Sports,30.02,15.55,5.47,7.59
Strategy,7.71,3.25,0.75,3.48
1998,256.45,128.36,66.9,50.04
Action,39.44,20.15,11.9,5.55
Adventure,9.05,3.17,2.52,2.91
Fighting,31.66,18.43,7.8,4.18
Misc,11.94,5.53,2.91,2.88
Platform,29.88,17.05,8.19,3.29
Puzzle,6.34,2.58,1.59,1.84
Racing,27.9,14.63,9.62,2.3
Role-Playing,28.08,9.16,6.44,11.33
Shooter,9.8,5.61,3.36,0.36
Simulation,7.11,2.79,0.77,3.36
Sports,41.79,24.7,10.21,5.06
Strategy,13.46,4.56,1.59,6.98
1999,251.25,126.06,62.67,52.34
Action,27.77,14.91,8.68,2.9
Adventure,7.6,3.32,2.78,1.11
Fighting,14.26,8.51,2.65,2.83
Misc,20.65,11.95,3.73,4.32
Platform,20.82,13,5.34,1.66
Puzzle,1.36,0.81,0.45,0.02
Racing,37.27,21.15,11.11,3.35
Role-Playing,49.09,17.29,11.17,18.7
Shooter,12.25,7.77,3.73,0.29
Simulation,11.44,3.41,1.33,6.12
Sports,30.29,15.09,7.03,6.83
Strategy,18.45,8.85,4.67,4.21
2000,201.58,94.5,52.77,42.77
Action,34.04,17.79,10.84,3.74
Adventure,2.98,1.01,0.69,1.11
Fighting,20.22,9.69,6.31,3.05
Misc,15.54,7.14,4.91,2.77
Platform,16.06,7.87,4.64,2.56
Puzzle,3.82,1.73,0.93,0.98
Racing,19.99,11,6.5,1.15
Role-Playing,29.03,7.2,4.21,15.8
Shooter,6.81,4,2.17,0.2
Simulation,3.38,1.11,0.77,1.27
Sports,41.19,22.75,9.77,6.36
Strategy,8.52,3.21,1.03,3.78
2001,331.47,173.98,94.89,39.86
Action,59.39,29.81,19.25,5.99
Adventure,9.12,3.92,3.67,1.07
Fighting,18.12,9.19,5,2.73
Misc,16.4,9.96,4.25,1.26
Platform,39.28,21.61,11.62,3.54
Puzzle,8,5.22,1.84,0.7
Racing,55.81,29.4,17.89,4
Role-Playing,22.06,7.46,4.14,9.55
Shooter,24.77,15.11,7.5,0.53
Simulation,19.54,10.3,4.35,3.77
Sports,51.43,28.8,14.14,3.9
Strategy,7.55,3.2,1.24,2.82
2002,395.51,216.19,109.75,41.76
Action,86.76,47.81,27.01,5.1
Adventure,11.05,4.72,2.51,3.23
Fighting,25.02,14,6.21,3.14
Misc,15.67,8.49,3.56,2.9
Platform,45.97,26.73,12.3,4.52
Puzzle,5.34,3.41,1.41,0.17
Racing,30.2,18.49,8.89,0.2
Role-Playing,45.13,20.43,9.39,13.64
Shooter,48.58,28.69,14.98,1.02
Simulation,10.81,6.01,3.53,0.75
Sports,65.42,35.17,19.24,4.69
Strategy,5.56,2.24,0.72,2.4
2003,357.8,193.61,103.81,34.2
Action,67.93,37.74,20.88,4.19
Adventure,2.14,0.96,0.57,0.43
Fighting,23.73,13.32,5.78,2.95
Misc,23.82,10.71,7.46,3.58
Platform,42.89,25.31,12.5,2.22
Puzzle,2.42,0.93,0.28,1.14
Racing,52.19,27.65,17.23,2.83
Role-Playing,30.26,13.8,5.7,9.63
Shooter,27.13,16.13,8.54,0.21
Simulation,21.19,12.06,6.47,1.46
Sports,56.11,31.45,15.96,4
Strategy,7.99,3.55,2.44,1.56
2004,419.05,222.51,107.28,41.65
Action,76.25,39.08,16.02,4.82
Adventure,8.69,4.95,2.13,1.23
Fighting,16.78,9.94,4.12,1.34
Misc,31.32,17.15,9.44,2.43
Platform,47.22,26.28,12.01,6.11
Puzzle,8.4,3.83,1.48,2.55
Racing,47.83,22.19,12.46,1.99
Role-Playing,53.95,21.56,16.73,13.49
Shooter,46.95,30.34,12.76,0.65
Simulation,10.83,5.74,3.56,0.58
